year,quarter,CFO,CFF,CFI,ending_cash_balance,net_change_in_cash,revenue,cost_of_goods_sold,gross_profit,net_income,operating_expenses,operating_income,accounts_receivable,inventory,accounts_payable,tax_expense,interest_expense,total_assets,total_equity,total_liabilities,da_expense,date,EBITDA,capex,inflow,outflow,netcashflow,current_assets,noncurrent_assets,noncurrent_liabilities,interest_bearing_Debt,current_liabilities
2021,Q2,249824,-59369,-41154,8077779,149301,3228895,2234395,994500,235260,750309,246161,2696475,1842755,1523250,-56370,-8153,27357176,22763072,4594104,303431,2021-06-30,549592,46019,3520714,3371413,149301,12799571,14557605,928026,437923,3666078
2021,Q3,747567,-1880200,-110440,6817894,-1243073,3941713,2443541,1498172,621681,833796,769059,2817557,1997480,1592752,-187650,-3581,26256521,21549654,4706867,313281,2021-09-30,1082340,109567,4259036,5501907,-1242871,11834813,14421708,949164,302862,3757703
2021,Q4,1316340,-1610372,-374097,6141267,-668129,4163253,2629223,1534030,580238,899375,660154,2586792,2267421,2082752,-113569,-6791,26136114,20620964,5515150,300799,2021-12-31,960953,379316,4845571,5513700,-668129,11336733,14799381,868644,275764,4646506
2022,Q1,-3592,-336940,-242966,5562790,-583498,3557727,2597283,960444,182555,776909,206772,2622445,2401398,1816533,-47034,-7297,25902841,20545629,5357212,284215,2022-03-31,490987,244847,3907511,4491009,-583498,10858636,15044205,1165716,643846,4191496
2022,Q2,75124,-2366854,-159070,3143836,-2450800,3353349,2545005,808344,108993,726478,434881,2733113,2413099,1712067,-29094,-10877,23454801,18322629,5132172,298166,2022-06-30,733047,165409,3613472,6064272,-2450800,8515242,14939559,1219523,633930,3912649
2022,Q3,953390,-419183,-145561,3548283,388646,4749869,3076167,1673702,655304,885673,523176,2982641,2389428,1826410,-183179,-10590,24482368,18695168,5787200,290037,2022-09-30,813213,144346,5084310,4695664,388646,9223172,15259196,1511527,1050930,4275673
2022,Q4,1376851,-117328,-325992,4525505,933531,4667333,2966665,1700668,895582,945237,1061653,2651672,2830700,1834752,-187568,-14150,25706169,19566906,6139263,355745,2022-12-31,1417398,319535,5507362,4573831,933531,10312090,15394079,1317111,987476,4822152
2023,Q1,54360,-106928,-116423,4333797,206942,4245677,2969756,1275921,371373,822210,440843,2623536,3027664,1296305,-96797,-13456,25438126,19938279,5499847,331438,2023-03-31,772281,115081,4684816,4853807,-168991,10287954,15150172,1247045,901428,4252802
2023,Q2,-102913,-653625,-101608,3475667,149301,3724340,2568270,1156070,327059,772641,387570,2822668,3099309,1217600,-87552,-12666,24906388,19716366,5190022,331021,2023-06-30,718591,107041,3919671,4777817,-858146,9799834,15106554,1332100,985185,3857922
2023,Q3,1436443,-129150,-9415,4781451,-1243073,4957674,3301104,1656570,568835,987992,686390,2870758,2870454,1258341,-152270,-11993,25783330,20285201,5498129,352166,2023-09-30,1038556,19751,5458659,4160781,1297878,10877112,14906218,1228611,907715,4269518
2023,Q4,2097155,-2205014,-1489329,3185373,-668129,5022065,3263901,1758164,682999,1043351,767255,2741975,2904699,1712761,-109463,-22388,29649645,20969511,8680134,359815,2023-12-31,1127070,307078,7910762,9507950,-1597188,9228033,20421612,1311947,2804861,7368187
2024,Q1,-526481,-118302,-26794,2519995,-671577,4082568,2902396,1180172,238029,876564,313857,2601752,2979053,1312506,-59988,-48115,28774000,21207540,7566460,371300,2024-03-31,685157,25871,4654228,5325805,-671577,8600757,20173243,1295024,2767101,6271436
2024,Q2,205028,-780832,-109462,1841030,-685266,4042170,2923969,1118201,196679,858407,261963,2721557,2879413,1190963,-48466,-44058,27745880,20806840,6939040,385391,2024-06-30,647354,114113,4424116,5109382,-685266,7831904,19913976,1237935,2674508,5701105
2024,Q3,1504158,-443148,-191289,2703756,869721,5195936,3411327,1784609,621221,987042,804757,2889394,2728451,1333704,-165571,-46497,28523897,21239954,7283943,394358,2024-09-30,1199115,190813,5620312,4750591,869721,8755694,19768203,1146900,2546731,6137043
2024,Q4,2165348,-245392,-136551,4496547,1783405,5228060,3250087,1977973,952018,1003093,1012845,2838219,2593061,1790625,-181046,-42892,30420006,22114350,8305656,391910,2024-12-31,1404755,262274,8009704,6226299,1783405,10388834,20031172,1130527,2438744,7175129
2025,Q1,63538,-170970,-198360,4195220,-305792,3975728,2856061,1119667,210675,847322,253423,2690284,2721052,1447689,-48996,-44581,30096122,22325025,8522242,380426,2025-03-31,633849,195633,4604777,4910569,-305792,10102853,19993269,1285885,2607538,7236357
2025,Q2,473103,-1026932,-204766,3429293,-758595,4057088,2834874,1222214,284082,857211,348795,2719928,2669979,1328670,-73104,-41971,29111723,21741464,7771097,367126,2025-06-30,715921,208940,4518785,5277380,-758595,9336801,19774922,1280624,2478684,6490473
2025,Q3,1119115,-430375,-389863,3737394,298877,4883365,3180374,1702991,568345,994444,711331,3002207,2532176,1373370,-148552,-44801,29889945,22048294,7370259,403421,2025-09-30,1114752,335097,5322437,5023560,298877,9690902,20199043,1468893,2840216,5901366
2025,Q4,2152390,-203722,185033,5872748,2133701,4815007,3090006,1725001,1185679,984059,773288,2751091,2176751,1608597,-216900,-41183,31725343,23203101,7841651,411910,2025-12-31,1135306,261760,6960970,4827269,2133701,11215313,20510030,2418045,2743494,5423606
